"P0",,,,,"P1",,,,"P2",,,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]"
214,3.48639,13.1489,0.235336,1.20825,3.5463,11.6245,0.170279,1.46221,,,,
215,,,,,3.5463,11.6245,0.170831,1.46703,,,,
216,3.48639,13.1489,0.23598,1.21029,3.5463,11.6245,0.171026,1.46765,,,,
217,3.48639,13.1489,0.237191,1.21162,3.5463,11.6245,0.17194,1.47061,,,,
218,3.48639,13.1489,0.237706,1.21285,3.5463,11.6245,0.172156,1.47341,,,,
219,3.48639,13.1489,0.237935,1.2131,3.5463,11.6245,0.172249,1.47541,,,,
220,3.48639,13.1489,0.237354,1.21644,3.5463,11.6245,0.171903,1.4806,,,,
221,3.48639,13.1489,0.238853,1.21636,3.5463,11.6245,0.173012,1.48177,,,,
222,3.48639,13.1489,0.237981,1.22043,3.5463,11.6245,0.172416,1.48788,,,,
223,3.48639,13.1489,0.237672,1.22247,3.5463,11.6245,0.171835,1.49198,,,,
224,3.48639,13.1489,0.238139,1.22546,3.5463,11.6245,0.171847,1.49647,,,,
225,3.48639,13.1489,0.238385,1.22841,3.5463,11.6245,0.172235,1.50152,,,,
226,3.48639,13.1489,0.23895,1.23149,3.5463,11.6245,0.172386,1.5062,,,,
227,3.48639,13.1489,0.240585,1.23286,3.5463,11.6245,0.173325,1.51031,,,,
228,3.48639,13.1489,0.241233,1.23184,3.5463,11.6245,0.173973,1.51216,,,,
229,3.48639,13.1489,0.239323,1.22697,3.5463,11.6245,0.172256,1.50892,,,,
230,3.48639,13.1489,0.24214,1.22896,3.5463,11.6245,0.174308,1.51205,,,,
231,3.48639,13.1489,0.243515,1.22631,3.5463,11.6245,0.175222,1.511,,,,
232,3.48639,13.1489,0.242992,1.22485,3.5463,11.6245,0.174927,1.51161,,,,
233,3.48639,13.1489,0.244764,1.22271,3.5463,11.6245,0.176774,1.51126,,,,
234,,,,,3.5463,11.6245,0.177149,1.51114,,,,
235,3.48639,13.1489,0.247924,1.21687,3.5463,11.6245,0.178275,1.50806,,,,
236,3.48639,13.1489,0.24872,1.21686,3.5463,11.6245,0.17976,1.51094,,,,
237,3.48639,13.1489,0.249881,1.21735,3.5463,11.6245,0.180296,1.51285,,,,
238,3.48639,13.1489,0.252016,1.21845,3.5463,11.6245,0.18181,1.51579,,,,
239,3.48639,13.1489,0.255494,1.21564,3.5463,11.6245,0.184774,1.51558,,,,
240,,,,,3.5463,11.6245,0.184697,1.51653,,,,
241,3.48639,13.1489,0.256695,1.21291,3.5463,11.6245,0.184824,1.52054,,,,
242,3.48639,13.1489,0.258862,1.2144,3.5463,11.6245,0.18616,1.52498,,,,
243,3.48639,13.1489,0.254846,1.21078,3.5463,11.6245,0.182547,1.52489,,,,
